Testing RandomTest
------------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |      Insert Only [ms]      |      Access Only [ms]      |      Delete Only [ms]       |
|                          | 1000000 | 25878164 25878164 85397941 | 15030366 16030366 50600207 | 25534021 34290209 93018457  |
------------------------------------------------------------------------------------------------------------------------------
Testing OneTest
-------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |   Insert Only [ms]    |    Access Only [ms]    |        Delete Only [ms]         |
-------------------------------------------------------------------------------------------------------------------------
| 0: BST                   |         |                       |                        |                                 |
|                          | 100     | 0 4950 4950           | 0 5050 5050            | 0 5050 5050                     |
|                          | 10000   | 0 49995000 49995000   | 0 50005000 50005000    | 0 50005000 50005000             |
|                          | 100000  | 0 704982704 704982704 | 0 705082704 705082704  | 0 705082704 705082704           |
|                          | 1000000 | 0                     | 0                      | 0                               |
| 1: Vanilla               |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 199 426             | 317 417 1146                    |
|                          | 10000   | 9999 9999 32996       | 9999 19999 42996       | 34113 44113 122572              |
|                          | 100000  | 99999 99999 329996    | 99999 199999 429996    | 341427 441427 1226709           |
|                          | 1000000 | 999999 999999 3299996 | 999999 1999999 4299996 | 3414571 4414571 12268084        |
| 2a: Rand 1-Rot, p = 2^-1 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 384 611             | 203 303 769                     |
|                          | 10000   | 9999 9999 32996       | 9998 40124 63119       | 21664 31664 81491               |
|                          | 100000  | 99999 99999 329996    | 99999 397553 627550    | 317288 417288 1147050           |
|                          | 1000000 | 0                     | 0                      | 0                               |
| 2b: Rand 2-Rot, p = 2^-1 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 384 611             | 231 331 862                     |
|                          | 10000   | 9999 9999 32996       | 9998 40124 63119       | 24796 34796 91826               |
|                          | 100000  | 99999 99999 329996    | 99999 397553 627550    | 249347 349347 922845            |
|                          | 1000000 | 999999 999999 3299996 | 999999 3998835 6298832 | 2490619 3490619 9219042         |
| 2c: Rand 3-Rot, p = 2^-1 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 384 611             | 249 349 921                     |
|                          | 10000   | 9999 9999 32996       | 9998 40124 63119       | 27081 37081 99367               |
|                          | 100000  | 99999 99999 329996    | 99999 397553 627550    | 239597 339597 890670            |
|                          | 1000000 | 999999 999999 3299996 | 999999 3998835 6298832 | 2361948 3361948 8794428         |
| 2d: Rand 4-Rot, p = 2^-1 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 384 611             | 253 353 934                     |
|                          | 10000   | 9999 9999 32996       | 9998 40124 63119       | 28018 38018 102459              |
|                          | 100000  | 99999 99999 329996    | 99999 397553 627550    | 236859 336859 881634            |
|                          | 1000000 | 999999 999999 3299996 | 999999 3998835 6298832 | 2301505 3301505 8594966         |
| 3b: Rand 2-Rot, p = 2^-2 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 96 855 1075            | 180 280 694                     |
|                          | 10000   | 9999 9999 32996       | 9987 61493 84463       | 21401 31401 80623               |
|                          | 100000  | 99999 99999 329996    | 99987 598307 828277    | 215671 315671 811714            |
|                          | 1000000 | 999999 999999 3299996 | 999993 5981613 8281596 | 2156447 3156447 8116275         |
| 3c: Rand 3-Rot, p = 2^-2 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 96 855 1075            | 180 280 694                     |
|                          | 10000   | 9999 9999 32996       | 9987 61493 84463       | 22511 32511 84286               |
|                          | 100000  | 99999 99999 329996    | 99987 598307 828277    | 235614 335614 877526            |
|                          | 1000000 | 999999 999999 3299996 | 999993 5981613 8281596 | 2357514 3357514 8779796         |
| 3d: Rand 4-Rot, p = 2^-2 |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 96 855 1075            | 200 300 760                     |
|                          | 10000   | 9999 9999 32996       | 9987 61493 84463       | 23413 33413 87262               |
|                          | 100000  | 99999 99999 329996    | 99987 598307 828277    | 249697 349697 924000            |
|                          | 1000000 | 999999 999999 3299996 | 999993 5981613 8281596 | 2493635 3493635 9228995         |
| 4: Scheme 2, p = 2^-1    |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 262 489             | 309 409 1119                    |
|                          | 10000   | 9999 9999 32996       | 9998 26677 49672       | 33382 43382 120160              |
|                          | 100000  | 99999 99999 329996    | 99999 266495 496492    | 334563 434563 1204057           |
|                          | 1000000 | 999999 999999 3299996 | 999999 2666406 4966403 | 3347351 4347351 12046258        |
| 4: Scheme 2, p = 2^-2    |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 98 284 509             | 294 394 1070                    |
|                          | 10000   | 9999 9999 32996       | 9998 28026 51021       | 32904 42904 118583              |
|                          | 100000  | 99999 99999 329996    | 99998 279844 509839    | 330264 430264 1189871           |
|                          | 1000000 | 999999 999999 3299996 | 999998 2799527 5099522 | 3301118 4301118 11893689        |
| 5: EvenScheme            |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 98 248 473             | 282 382 1030                    |
|                          | 10000   | 9999 9999 32996       | 9998 24998 47993       | 32028 42028 115692              |
|                          | 100000  | 99999 99999 329996    | 99998 249998 479993    | 320846 420846 1158791           |
|                          | 1000000 | 999999 999999 3299996 | 999998 2499998 4799993 | 3209758 4209758 11592201        |
| 5a: OneRot               |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 199 426             | 4950 5050 16435                 |
|                          | 10000   | 9999 9999 32996       | 9999 19999 42996       | 49995000 50005000 164993500     |
|                          | 100000  | 99999 99999 329996    | 99999 199999 429996    | 704982704 705082704 -2147483648 |
|                          | 1000000 | 0                     | 0                      | 0                               |
| 5b: Vanilla/TwoRot       |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 199 426             | 317 417 1146                    |
|                          | 10000   | 9999 9999 32996       | 9999 19999 42996       | 34113 44113 122572              |
|                          | 100000  | 99999 99999 329996    | 99999 199999 429996    | 341427 441427 1226709           |
|                          | 1000000 | 999999 999999 3299996 | 999999 1999999 4299996 | 3414571 4414571 12268084        |
| 5c: ThreeRot             |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 199 426             | 249 349 921                     |
|                          | 10000   | 9999 9999 32996       | 9999 19999 42996       | 26499 36499 97446               |
|                          | 100000  | 99999 99999 329996    | 99999 199999 429996    | 265413 365413 975862            |
|                          | 1000000 | 999999 999999 3299996 | 999999 1999999 4299996 | 2654385 3654385 9759470         |
| 5d: FourRot              |         |                       |                        |                                 |
|                          | 100     | 99 99 326             | 99 199 426             | 219 319 822                     |
|                          | 10000   | 9999 9999 32996       | 9999 19999 42996       | 23639 33639 88008               |
|                          | 100000  | 99999 99999 329996    | 99999 199999 429996    | 236803 336803 881449            |
|                          | 1000000 | 999999 999999 3299996 | 999999 1999999 4299996 | 2368547 3368547 8816205         |
-------------------------------------------------------------------------------------------------------------------------
Testing SplayLineTest
-------------------------------------------------------------------------
|         Tree Type        |    N    |         Access Only [ms]         |
-------------------------------------------------------------------------
| 0: BST                   |         |                                  |
|                          | 100     | 0 5050 5050                      |
|                          | 10000   | 0 50005000 50005000              |
|                          | 100000  | 0 705082704 705082704            |
|                          | 1000000 | 0                                |
| 1: Vanilla               |         |                                  |
|                          | 100     | 416 516 1472                     |
|                          | 10000   | 44112 54112 155569               |
|                          | 100000  | 441426 541426 1556705            |
|                          | 1000000 | 4414570 5414570 15568081         |
| 2a: Rand 1-Rot, p = 2^-1 |         |                                  |
|                          | 100     | 1792 5146 9267                   |
|                          | 10000   | 17159278 50014997 89481336       |
|                          | 100000  | 1676134577 705182702 -2147483648 |
|                          | 1000000 | 0                                |
| 2b: Rand 2-Rot, p = 2^-1 |         |                                  |
|                          | 100     | 309 857 1567                     |
|                          | 10000   | 33103 161495 237631              |
|                          | 100000  | 332647 825233 1590321            |
|                          | 1000000 | 3322663 11873221 19515345        |
| 2c: Rand 3-Rot, p = 2^-1 |         |                                  |
|                          | 100     | 245 725 1288                     |
|                          | 10000   | 27011 132146 194271              |
|                          | 100000  | 272087 648438 1274238            |
|                          | 1000000 | 2721095 9397913 15656431         |
| 2d: Rand 4-Rot, p = 2^-1 |         |                                  |
|                          | 100     | 247 698 1266                     |
|                          | 10000   | 24873 121943 179150              |
|                          | 100000  | 250265 596487 1172096            |
|                          | 1000000 | 2501186 8402598 14155325         |
| 3b: Rand 2-Rot, p = 2^-2 |         |                                  |
|                          | 100     | 251 1207 1784                    |
|                          | 10000   | 29156 158586 225644              |
|                          | 100000  | 293534 1144406 1819534           |
|                          | 1000000 | 2935291 15577533 22328702        |
| 3c: Rand 3-Rot, p = 2^-2 |         |                                  |
|                          | 100     | 209 983 1463                     |
|                          | 10000   | 23772 125257 179932              |
|                          | 100000  | 237897 935490 1482653            |
|                          | 1000000 | 2382094 13237947 18716763        |
| 3d: Rand 4-Rot, p = 2^-2 |         |                                  |
|                          | 100     | 181 883 1299                     |
|                          | 10000   | 21881 115354 165680              |
|                          | 100000  | 219498 862128 1366973            |
|                          | 1000000 | 2192714 12477663 17520905        |
| 4: Scheme 2, p = 2^-1    |         |                                  |
|                          | 100     | 335 483 1253                     |
|                          | 10000   | 36889 51362 136206               |
